[2026/09/12 18:00:30   INFO]          [PluginManager] - InigmasGames:HytaleRPGPhase00Audit from path HyARPG.jar
[2026/09/12 18:00:30   WARN]         [PluginManifest] Manifest ServerVersion '2026.02.17-255364b8e' is in the pre-semver YYYY.MM.DD-<sha> format. Treated as wildcard for backward compatibility. Update to a SemverRange.
[2026/09/12 18:00:30   INFO]          [PluginManager] - HytaleDevLib:HytaleDevLib from path HYTALEDEVLIB-0.5.0.jar
[2026/09/12 18:00:30   WARN]          [PluginManager] Plugin 'InigmasGames:CanvasUI' targets server version range '=0.7.0-pre.1' which does not match the running server version '0.7.0-pre.2'. You may encounter issues, please check for plugin updates.
[2026/09/12 18:00:30   INFO]       [TelemetryStorage] Opened telemetry session file: telemetry\2026-09-12_18-00-30_f182c06a.jsonl
[2026/09/12 18:00:30   INFO]       [TelemetryService] Telemetry service initialized with session ID: f182c06a-d2d1-4636-abad-f4dacec68327
[2026/09/12 18:00:30   INFO]          [AssetModule|P] Asset monitor enabled!
[2026/09/12 18:00:30   INFO]          [AssetModule|P] Loaded pack: Hytale:Hytale from Assets.zip
[2026/09/12 18:00:30   INFO]          [AssetModule|P] Loading packs from directory: mods
[2026/09/12 18:00:30   INFO]          [AssetModule|P] Loaded pack: InigmasGames:CanvasUI from CanvasUI-0.1.0.jar
[2026/09/12 18:00:30   INFO]          [AssetModule|P] Loaded pack: InigmasGames:HytaleRPGPhase00Audit from HyARPG.jar
[2026/09/12 18:00:30   WARN]         [PluginManifest] Manifest ServerVersion '2026.02.17-255364b8e' is in the pre-semver YYYY.MM.DD-<sha> format. Treated as wildcard for backward compatibility. Update to a SemverRange.
[2026/09/12 18:00:30   INFO]          [AssetModule|P] Loaded pack: HytaleDevLib:HytaleDevLib from HYTALEDEVLIB-0.5.0.jar
[2026/09/12 18:00:30   WARN]          [AssetModule|P] Skipping pack at Hytale_HytaleGenerator: missing or invalid manifest.json
[2026/09/12 18:00:30   WARN]          [AssetModule|P] Skipping pack at Hytale_Shop: missing or invalid manifest.json
[2026/09/12 18:00:30   WARN]          [AssetModule|P] Skipping pack at InigmasGames_HytaleRPGPhase00Audit: missing or invalid manifest.json
[2026/09/12 18:00:30   WARN]          [AssetModule|P] Plugin 'InigmasGames:CanvasUI' targets server version range '=0.7.0-pre.1' which does not match the running server version '0.7.0-pre.2'. You may encounter issues, please check for plugin updates.
[2026/09/12 18:00:31   INFO]        [ConsoleModule|P] Setup console with type: dumb-color
[2026/09/12 18:00:31   INFO]      [ServerAuthManager] Server certificate set: CN=localhost
[2026/09/12 18:00:31   INFO]          [QUICTransport] Server certificate registered for mutual auth, fingerprint: t4rrM0MbGqff0rxbCeDNkWYu4iysZqYcQJQf7cFGVjc
[2026/09/12 18:00:31   INFO]          [QUICTransport] Using IPv4 Datagram Channel: NioDatagramChannel(INET)...
